groupe,favori,equipes,pts_favori,debutants
A,Mexico,Mexico | South Africa | South Korea | Czechia,66,Czechia
B,Switzerland,Canada | Bosnia and Herzegovina | Qatar | Switzerland,50,Aucun
C,Brazil,Brazil | Morocco | Haiti | Scotland,247,Aucun
D,United States,United States | Paraguay | Australia | Turkey,35,Aucun
E,Germany,Germany | Curacao | Ivory Coast | Ecuador,225,Curacao
F,Netherlands,Netherlands | Japan | Ukraine | Tunisia,104,Aucun
G,Belgium,Belgium | Egypt | Iran | New Zealand,73,Aucun
H,Spain,Spain | Cape Verde | Saudi Arabia | Uruguay,110,Cape Verde
I,France,France | Senegal | Iraq | Norway,131,Aucun
J,Argentina,Argentina | Algeria | Austria | Jordan,158,Jordan
K,Portugal,Portugal | DR Congo | Uzbekistan | Colombia,57,Uzbekistan
L,England,England | Croatia | Ghana | Panama,118,Aucun
